config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_bin_count	calibrate_lambda_mse
1	1.036259761452675	0.27951762080192566	1.0810602009296417	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	2.0	0.5	splat	0.5	1.0	1.0	0.0	isotonic	1.0	0.1	120	0.05	True	True	50000	0.0	0.9	0.6	0.8	True	0.0	4.0	0.0	2.0	0.0	1.0	0.3	0.7	0.6	0.6	1.0	0.0	1.0	4	20	0.0	2.0	1.0	-1.0	1.5	recon	0.0	0.3	0.6	0.0	-1.0	0.5	True	mix	0.3	0.0	0.8	0.4	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
2	1.117740701138973	0.40514620393514633	1.0179921388626099	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	2.0	1.0	splat	0.5	0.5	1.0	0.0	isotonic	0.8	0.1	200	0.2	True	True	50000	0.0	0.0	0.3	0.4	False	0.0	1.0	0.0	2.0	0.0	1.0	0.2	0.9	0.6	0.9	2.0	0.0	1.0	4	10	0.0	1.0	1.0	-1.0	2.0	obs	0.0	0.0	0.6	0.5	-1.0	1.0	False	mix	0.5	0.0	0.2	-1.0	10	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
3	1.2330800041556358	0.5112926438450813	1.0311248004436493	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.0	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.0	200	0.2	True	True	20000	0.0	0.9	1.0	0.4	True	0.0	1.0	0.0	1.0	0.0	4.0	0.2	0.5	0.6	0.9	1.0	0.0	2.0	2	20	0.0	4.0	1.0	-1.0	2.0	recon	0.0	0.3	1.0	-0.5	0.4	1.0	False	counts	0.5	0.0	0.2	-1.0	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
4	1.2158362179994584	0.4845787435770035	1.0446535348892212	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	2.0	0.5	splat	0.5	4.0	1.0	0.0	isotonic	1.0	0.1	200	0.1	True	True	50000	0.0	0.6	0.1	0.6	True	0.0	1.0	0.0	2.0	0.0	1.0	0.05	0.7	0.6	0.9	1.0	0.0	1.0	3	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.6	0.3	0.5	-1.0	1.5	False	counts	0.5	0.0	0.2	0.2	10	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
5	1.2156262680888177	0.4750639349222183	1.057946190237999	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	1.0	1.0	0.0	isotonic	1.0	0.0	120	0.05	True	True	20000	0.0	0.0	1.0	0.6	True	0.0	2.0	0.0	4.0	0.0	1.0	0.3	0.9	0.6	0.9	1.0	0.0	1.0	4	10	0.0	1.0	1.0	-1.0	1.0	obs	0.0	0.0	0.3	0.5	0.2	1.0	False	mix	0.3	0.0	0.4	-1.0	10	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
6	0.7628724776208401	0.24775906279683113	0.7358763068914413	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	2.0	0.5	splat	0.7	1.0	1.0	0.0	platt	0.6	0.1	120	0.2	True	True	20000	0.0	0.6	1.0	0.4	True	0.0	1.0	0.0	1.0	0.0	1.0	0.1	1.0	0.6	0.0	1.0	0.0	2.0	2	20	0.0	1.0	1.0	-1.0	2.0	recon	0.0	0.3	0.3	0.0	0.4	0.5	True	counts	0.7	0.0	0.4	0.2	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
7	1.2142067924141884	0.49202560633420944	1.0316874086856842	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.0	splat	0.5	2.0	1.0	0.0	platt	0.6	0.01	200	0.05	True	True	20000	0.0	0.3	0.1	0.4	True	0.0	1.0	0.0	4.0	0.0	1.0	-1.0	0.9	0.6	0.9	1.0	0.0	1.0	4	20	0.0	2.0	1.0	-1.0	1.5	obs	0.0	0.3	0.6	-0.5	-1.0	0.5	True	counts	0.5	0.0	0.4	0.4	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
8	0.9072276309132575	0.3078457862138748	0.8562597781419754	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.5	1.0	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.0	0.3	1.0	0.4	True	0.0	2.0	0.0	4.0	0.0	2.0	0.05	0.5	0.6	0.3	2.0	0.0	1.0	4	20	0.0	0.5	1.0	-1.0	1.0	recon	0.0	0.0	0.3	0.0	0.4	0.5	False	log	0.5	0.0	0.8	0.4	20	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
9	1.1077463775873184	0.3397751748561859	1.0971017181873322	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.0	0.5	splat	0.7	4.0	1.0	0.0	platt	1.0	0.0	120	0.1	True	True	50000	0.0	0.3	0.3	0.8	False	0.0	4.0	0.0	4.0	0.0	1.0	0.05	1.0	0.6	0.6	1.0	0.0	2.0	3	20	0.0	1.0	1.0	-1.0	2.0	recon	0.0	0.0	0.3	0.0	-1.0	0.5	False	mix	0.7	0.0	0.2	0.4	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
10	0.769094480574131	0.273131787776947	0.7085181325674057	0.95	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	2.0	0.0	splat	0.7	0.5	1.0	0.0	isotonic	0.8	0.0	120	0.2	True	True	20000	0.0	0.6	0.3	0.4	True	0.0	1.0	0.0	4.0	0.0	4.0	0.05	0.7	0.6	0.0	2.0	0.0	2.0	2	10	0.0	0.5	1.0	-1.0	1.0	recon	0.0	0.6	0.3	0.5	-1.0	1.0	True	mix	0.7	0.0	0.2	-1.0	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.7
