config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_bin_count	calibrate_lambda_mse
1	0.8624977193772793	0.22709738835692406	1.059000551700592	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	isotonic	1.0	0.0	200	0.1	True	True	50000	0.8	0.01	0.1	200	True	50000	0.0	0.0	0.6	0.2	False	0.0	2.0	0.0	4.0	0.0	4.0	0.2	0.9	0.6	0.9	2.0	0.0	1.0	4	10	0.0	2.0	1.0	-1.0	1.5	obs	0.0	0.6	1.0	0.0	0.2	1.5	True	counts	0.5	0.0	0.2	-1.0	10	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
2	0.9111686870455742	0.21358231455087662	1.1626439541578293	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	isotonic	1.0	0.0	200	0.1	True	True	50000	0.8	0.0	0.1	200	True	50000	0.0	0.9	0.6	0.4	False	0.0	4.0	0.0	2.0	0.0	4.0	0.2	1.0	0.6	0.9	1.0	0.0	1.0	3	10	0.0	0.5	1.0	-1.0	1.5	obs	0.0	0.6	1.0	0.5	0.4	1.0	True	counts	0.3	0.0	0.8	0.2	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
3	0.8647181309759616	0.19791889563202858	1.1113320589065552	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	0.5	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	1.0	0.0	0.1	200	True	50000	0.0	0.3	0.1	0.6	True	0.0	4.0	0.0	2.0	0.0	1.0	0.3	0.9	0.6	0.6	1.0	0.0	1.0	4	20	0.0	1.0	1.0	-1.0	2.0	recon	0.0	0.3	1.0	-0.5	-1.0	1.5	True	log	0.7	0.0	0.2	0.4	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
4	0.7417385652661324	0.2312561199069023	0.8508040755987167	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	4.0	1.0	0.0	isotonic	1.0	0.0	200	0.1	True	True	50000	1.0	0.0	0.1	200	True	50000	0.0	0.9	0.6	0.4	True	0.0	2.0	0.0	1.0	0.0	1.0	0.05	0.5	0.6	0.3	2.0	0.0	2.0	3	20	0.0	2.0	1.0	-1.0	1.0	recon	0.0	0.3	0.6	0.0	0.2	0.5	True	mix	0.3	0.0	0.4	-1.0	10	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
5	0.8661731511354446	0.19417110085487366	1.120003417134285	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	0.5	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	1.0	0.01	0.1	200	True	50000	0.0	0.0	0.1	0.8	False	0.0	4.0	0.0	1.0	0.0	4.0	0.05	0.7	0.6	0.6	1.0	0.0	2.0	3	20	0.0	4.0	1.0	-1.0	1.5	obs	0.0	0.3	0.6	0.5	-1.0	0.5	False	log	0.3	0.0	0.2	0.4	20	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
6	0.8224067375063896	0.22816476970911026	0.9904032796621323	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	platt	1.0	0.01	200	0.1	True	True	50000	0.8	0.01	0.1	200	True	50000	0.0	0.0	0.3	0.6	False	0.0	2.0	0.0	1.0	0.0	2.0	0.05	0.7	0.6	0.6	2.0	0.0	2.0	3	20	0.0	0.5	1.0	-1.0	1.5	obs	0.0	0.3	1.0	0.0	0.4	1.0	True	counts	0.3	0.0	0.8	0.4	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
7	0.7408196225762367	0.23119018226861954	0.8493824005126953	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	2.0	1.0	0.0	isotonic	1.0	0.0	200	0.1	True	True	50000	1.0	0.0	0.1	200	True	50000	0.0	0.0	0.1	0.4	True	0.0	1.0	0.0	2.0	0.0	4.0	0.05	0.9	0.6	0.3	2.0	0.0	2.0	3	10	0.0	1.0	1.0	-1.0	2.0	obs	0.0	0.6	0.6	0.5	0.2	1.0	False	counts	0.3	0.0	0.4	-1.0	10	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
8	0.9121084429323673	0.2014283575117588	1.1844668090343475	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	platt	1.0	0.01	200	0.1	True	True	50000	0.6	0.0	0.1	200	True	50000	0.0	0.3	0.1	0.4	True	0.0	1.0	0.0	4.0	0.0	1.0	-1.0	0.9	0.6	0.9	1.0	0.0	1.0	4	20	0.0	2.0	1.0	-1.0	1.5	obs	0.0	0.3	0.6	-0.5	-1.0	0.5	True	counts	0.5	0.0	0.4	0.4	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
9	0.8367450878024101	0.2730832174420357	0.9394364506006241	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	1.0	1.0	0.0	isotonic	1.0	0.0	200	0.1	True	True	50000	0.8	0.01	0.1	200	True	50000	0.0	0.0	0.6	0.6	False	0.0	4.0	0.0	1.0	0.0	4.0	0.05	0.9	0.6	0.6	2.0	0.0	1.0	2	10	0.0	1.0	1.0	-1.0	2.0	obs	0.0	0.6	0.6	-0.5	-1.0	1.0	False	log	0.5	0.0	0.8	-1.0	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
10	0.8644990175962448	0.1963561475276947	1.1135714501142502	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	1.0	0.0	0.1	200	True	50000	0.0	0.0	0.6	0.8	True	0.0	1.0	0.0	1.0	0.0	1.0	-1.0	0.9	0.6	0.6	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	2.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	True	mix	0.3	0.0	0.8	0.4	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
