config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	sup_bio_method	sup_bio_min_count	sup_bio_var_floor	sup_bio_hidden	lowrank_weight	lowrank_rank	lowrank_iters	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_zero_threshold	calibrate_zero_mode	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_zero_thr_grid	calibrate_bin_count	calibrate_lambda_mse
1	0.7833674266934394	0.38957323133945465	0.5625631362199783	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.5	4.0	1.0	0.0	none	1.0	0.1	120	0.05	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.9	0.6	0.8	True	0.0	4.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	3	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
2	0.7697496935725212	0.3578409366309643	0.5884410813450813	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.05	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.8	1.0	splat	0.5	1.0	1.0	0.0	none	0.6	0.01	120	0.1	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.6	0.8	False	0.0	4.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
3	0.7336212687194348	0.2426237054169178	0.701425090432167	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.5	4.0	1.0	0.0	none	0.6	0.1	200	0.05	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.3	0.2	True	0.0	1.0	0.0	4.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
4	0.7335791788995265	0.24099183455109596	0.7036962062120438	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.5	0.5	1.0	0.0	none	0.8	0.1	120	0.1	True	True	20000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.6	0.3	0.4	False	0.0	2.0	0.0	4.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
5	0.7408591233193874	0.2995508126914501	0.6304404437541962	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.05	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.5	0.6	splat	0.7	4.0	1.0	0.0	none	0.8	0.1	200	0.1	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	0.1	0.6	True	0.0	1.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
6	0.7820099055767059	0.3867335543036461	0.5646805018186569	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.1	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.7	1.0	1.0	0.0	none	0.6	0.01	120	0.1	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.1	0.2	False	0.0	2.0	0.0	4.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
7	0.7820099055767059	0.3867335543036461	0.5646805018186569	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.5	2.0	1.0	0.0	none	1.0	0.01	200	0.05	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.0	0.3	0.4	True	0.0	1.0	0.0	1.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
8	0.7323954433202744	0.24614953249692917	0.6946370154619217	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.5	1.0	splat	0.3	4.0	1.0	0.0	none	1.0	0.01	200	0.05	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.6	1.0	0.8	True	0.0	2.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
9	0.7474329993128777	0.32197239995002747	0.6078008562326431	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.05	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.6	splat	0.7	2.0	1.0	0.0	none	0.6	0.01	200	0.05	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.6	1.0	0.2	False	0.0	4.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	3	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
10	0.7844404824078083	0.39336902648210526	0.5586735084652901	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.7	4.0	obs	True	True	False	0.3	2.0	1.8	0.8	splat	0.5	4.0	1.0	0.0	none	1.0	0.01	120	0.1	True	True	50000	0.0	0.0	0.1	120	True	30000	logit	5	0.001	16	0.0	32	1	0.0	0.3	1.0	0.4	True	0.0	2.0	0.0	1.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	False	global	global	0.5,0.75,1.0,1.25,1.5	0.0,0.02,0.05,0.1,0.2	5	0.7
