config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	sup_bio_method	sup_bio_min_count	sup_bio_var_floor	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_bin_count	calibrate_lambda_mse
1	0.7313453204929828	0.1968286745250225	0.7635952085256577	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.3	1.0	0.2	True	0.0	1.0	0.0	1.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	4	20	0.2	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
2	0.733754450827837	0.200021680444479	0.76247538626194	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.4	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.3	0.6	0.4	False	0.0	4.0	0.0	4.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	4	20	0.1	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
3	0.7344532072544098	0.202076755464077	0.760537788271904	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	0.5	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.4	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.9	0.1	0.8	True	0.0	1.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	4	10	0.0	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
4	0.7328705914318561	0.19472020491957664	0.7687862664461136	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	1.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	1.0	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.9	1.0	0.2	False	0.0	2.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	2	20	0.2	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
5	0.7326159365475178	0.1964205764234066	0.7659933716058731	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.6	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.3	0.3	0.8	False	0.0	1.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	3	10	0.2	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
6	0.7328209772706031	0.19616390764713287	0.7666529566049576	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	1.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.4	0.01	0.1	120	True	30000	logit	5	0.001	0.0	0.6	1.0	0.4	False	0.0	4.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	2	20	0.2	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
7	0.7307770863175391	0.1961558610200882	0.7637446075677872	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	4.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	1.0	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.9	0.3	0.2	True	0.0	2.0	0.0	1.0	0.0	4.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	4	10	0.2	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
8	0.734030620008707	0.2018204666674137	0.7603002190589905	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.7	4.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.6	0.3	0.8	True	0.0	2.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	2	10	0.0	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
9	0.7314313724637032	0.19690755009651184	0.763605460524559	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.8	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.9	0.6	0.2	True	0.0	2.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.4	0.0	1.0	0.0	2.0	2	20	0.2	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
10	0.7342391386628151	0.20197833329439163	0.7603725790977478	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.0	False	100	32	0.0005	0.0	1.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.5	splat	0.3	2.0	1.0	0.0	isotonic	1.0	0.01	150	0.1	True	True	30000	0.4	0.01	0.1	120	True	30000	gauss	5	0.001	0.0	0.3	1.0	0.2	False	0.0	2.0	0.0	4.0	0.0	4.0	-1.0	0.0	0.4	0.0	1.0	0.0	1.0	2	20	0.0	2.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	True	global	1.0	5	0.7
