config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	sup_bio_method	sup_bio_min_count	sup_bio_var_floor	sup_bio_hidden	lowrank_weight	lowrank_rank	lowrank_iters	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_bin_count	calibrate_lambda_mse
1	0.8299493953585624	0.10966251790523529	1.0289812535047531	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	none	0.8	0.01	120	0.2	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	16	0.0	32	1	0.0	0.0	0.6	0.8	True	0.0	4.0	0.0	4.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
2	0.7848272819072007	0.14207620359957218	0.9182158261537552	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	none	0.8	0.0	200	0.2	True	True	50000	0.4	0.01	0.05	120	True	30000	mlp	5	0.001	32	0.0	32	1	0.0	0.6	0.3	0.4	False	0.0	1.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
3	0.8294404204934835	0.11060366593301296	1.0269096493721008	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	2.0	1.0	0.0	none	1.0	0.1	200	0.1	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	16	0.0	32	1	0.0	0.9	0.6	0.8	True	0.0	1.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
4	0.7830042265355587	0.14580337330698967	0.91028693318367	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	2.0	1.0	0.0	none	0.6	0.1	200	0.1	True	True	50000	0.4	0.01	0.05	120	True	30000	mlp	5	0.001	16	0.0	32	1	0.0	0.9	0.3	0.2	False	0.0	4.0	0.0	1.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
5	0.8315156374126672	0.1096391249448061	1.031252160668373	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	0.5	1.0	0.0	none	0.8	0.1	200	0.1	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	32	0.0	32	1	0.0	0.6	0.1	0.4	True	0.0	4.0	0.0	2.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	3	20	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
6	0.8285745430737733	0.11103281565010548	1.0250596106052399	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	0.5	1.0	0.0	none	0.6	0.01	120	0.2	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	16	0.0	32	1	0.0	0.9	1.0	0.8	True	0.0	2.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	3	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
7	0.8309736419469118	0.10933037288486958	1.0309189558029175	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	none	1.0	0.0	120	0.05	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	32	0.0	32	1	0.0	0.3	1.0	0.6	False	0.0	4.0	0.0	2.0	0.0	2.0	-1.0	0.0	0.6	0.0	1.0	0.0	2.0	3	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
8	0.8300636798143386	0.10983443260192871	1.028898924589157	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	4.0	1.0	0.0	none	1.0	0.01	120	0.1	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	16	0.0	32	1	0.0	0.3	0.3	0.8	True	0.0	1.0	0.0	1.0	0.0	4.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	4	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
9	0.8311321794986725	0.1093297153711319	1.031146377325058	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	1.0	1.0	0.0	none	0.8	0.01	120	0.1	True	True	50000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	32	0.0	32	1	0.0	0.6	0.3	0.4	False	0.0	4.0	0.0	1.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
10	0.8314939629286527	0.10945258103311062	1.031487688422203	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	none	0.6	0.1	120	0.2	True	True	20000	0.6	0.01	0.05	120	True	30000	mlp	5	0.001	32	0.0	32	1	0.0	0.9	0.1	0.4	True	0.0	2.0	0.0	2.0	0.0	1.0	-1.0	0.0	0.6	0.0	1.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.0	1.0	0.0	-1.0	1.0	False	log	0.5	0.0	1.0	-1.0	5	False	False	False	global	0.5,0.75,1.0,1.25,1.5	5	0.7
