config_id	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	renorm_imputed	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	cell_scale_alpha	sf_dropout_alpha	proxy_calib_shrink	proxy_bio_weight	proxy_drop_weight	proxy_impute_alpha	proxy_impute_gamma	proxy_mean_mode	proxy_calib_min_points	proxy_pu_weight	bio_soft_gamma	proxy_calib_mode	impute_mode	impute_blend_alpha	avg_mse	avg_bz_mse	score
142	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.7186007160228385	0.1389697169743705	0.49827007498578973
143	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.7186007160228385	0.1389697169743705	0.49827007498578973
144	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.7186007160228385	0.1389697169743705	0.49827007498578973
7	0.0	0.0	False	False	1.2	-0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.6592003718427402	0.17305685601863952	0.5026570419400096
8	0.0	0.0	False	False	1.2	-0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.6592003718427402	0.17305685601863952	0.5026570419400096
9	0.0	0.0	False	False	1.2	-0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.6592003718427402	0.17305685601863952	0.5026570419400096
34	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.761231379769473	0.12280165288307617	0.5034173427678127
35	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.761231379769473	0.12280165288307617	0.5034173427678127
36	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.761231379769473	0.12280165288307617	0.5034173427678127
115	0.0	0.0	False	False	1.5	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.6369930049311452	0.1852940885050988	0.5037905909706714
116	0.0	0.0	False	False	1.5	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.6369930049311452	0.1852940885050988	0.5037905909706714
117	0.0	0.0	False	False	1.5	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.6369930049311452	0.1852940885050988	0.5037905909706714
139	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.7112291484315798	0.14841490655340797	0.5040294807691978
140	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.7112291484315798	0.14841490655340797	0.5040294807691978
141	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.7112291484315798	0.14841490655340797	0.5040294807691978
232	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.7157998949348912	0.14640238869829283	0.5043023361657384
233	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.7157998949348912	0.14640238869829283	0.5043023361657384
234	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.7157998949348912	0.14640238869829283	0.5043023361657384
223	0.0	0.0	False	False	1.8	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.6217336870530599	0.19585048115181578	0.5067173246783457
224	0.0	0.0	False	False	1.8	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.6217336870530599	0.19585048115181578	0.5067173246783457
225	0.0	0.0	False	False	1.8	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.6217336870530599	0.19585048115181578	0.5067173246783457
124	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.7512356646293481	0.13117544011117543	0.5067932724258495
125	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.7512356646293481	0.13117544011117543	0.5067932724258495
126	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.7512356646293481	0.13117544011117543	0.5067932724258495
229	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.7129691378094842	0.1509653761752358	0.5074499450799779
230	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.7129691378094842	0.1509653761752358	0.5074499450799779
231	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.7129691378094842	0.1509653761752358	0.5074499450799779
214	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.7468199450529754	0.13504634037259527	0.508456312899083
215	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.7468199450529754	0.13504634037259527	0.508456312899083
216	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.7468199450529754	0.13504634037259527	0.508456312899083
31	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.7520302800118599	0.13250503094149757	0.5085201709474275
32	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.7520302800118599	0.13250503094149757	0.5085201709474275
33	0.0	0.0	False	False	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.7520302800118599	0.13250503094149757	0.5085201709474275
97	0.0	0.0	False	False	1.5	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.6606049064807229	0.17900963442337234	0.5093120876637338
98	0.0	0.0	False	False	1.5	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.6606049064807229	0.17900963442337234	0.5093120876637338
99	0.0	0.0	False	False	1.5	-0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.6606049064807229	0.17900963442337234	0.5093120876637338
121	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.7477946846212239	0.13580346814902636	0.5097008104596383
122	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.7477946846212239	0.13580346814902636	0.5097008104596383
123	0.0	0.0	False	False	1.5	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.7477946846212239	0.13580346814902636	0.5097008104596383
211	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.745441969578026	0.13720879907222336	0.5099297838612363
212	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.745441969578026	0.13720879907222336	0.5099297838612363
213	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.745441969578026	0.13720879907222336	0.5099297838612363
4	0.0	0.0	False	False	1.2	-0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.6512568081479244	0.18511259254696286	0.5107409966209251
5	0.0	0.0	False	False	1.2	-0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.6512568081479244	0.18511259254696286	0.5107409966209251
6	0.0	0.0	False	False	1.2	-0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.6512568081479244	0.18511259254696286	0.5107409966209251
226	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.0	0.7102937994134564	0.15575325720081362	0.5109001569075418
227	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.5	0.7102937994134564	0.15575325720081362	0.5109001569075418
228	0.0	0.0	False	False	1.8	0.5	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	1.0	0.7102937994134564	0.15575325720081362	0.5109001569075418
205	0.0	0.0	False	False	1.8	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.6414440989897847	0.19027325724490687	0.5109953067397992
206	0.0	0.0	False	False	1.8	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.6414440989897847	0.19027325724490687	0.5109953067397992
207	0.0	0.0	False	False	1.8	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.6414440989897847	0.19027325724490687	0.5109953067397992
136	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.0	0.7044994598148351	0.15882768983960854	0.511077419747026
137	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.5	0.7044994598148351	0.15882768983960854	0.511077419747026
138	0.0	0.0	False	False	1.5	0.5	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	1.0	0.7044994598148351	0.15882768983960854	0.511077419747026
208	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.0	0.7441084395587838	0.1394244885947738	0.5114787083741656
209	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	0.5	0.7441084395587838	0.1394244885947738	0.5114787083741656
210	0.0	0.0	False	False	1.8	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	0.0	labeled	ae	1.0	0.7441084395587838	0.1394244885947738	0.5114787083741656
187	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.0	0.6658331806375901	0.17864449464312498	0.5115610849619201
188	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	0.5	0.6658331806375901	0.17864449464312498	0.5115610849619201
189	0.0	0.0	False	False	1.8	-0.5	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	4.0	labeled	ae	1.0	0.6658331806375901	0.17864449464312498	0.5115610849619201
112	0.0	0.0	False	False	1.5	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.0	0.6305973332408502	0.19661651945558956	0.5119151860760147
113	0.0	0.0	False	False	1.5	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	0.5	0.6305973332408502	0.19661651945558956	0.5119151860760147
114	0.0	0.0	False	False	1.5	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	2.0	knn	20	0.0	2.0	labeled	ae	1.0	0.6305973332408502	0.19661651945558956	0.5119151860760147
