config_id	p_bio_temp	p_bio_bias	proxy_drop_weight	avg_mse	avg_bz_mse	score
1	1.2	0.5	0.0	0.45297127217054367	0.46658823639154434	0.6930738724768162
2	1.2	0.5	0.3	0.4503343179821968	0.4764173701405525	0.7015845291316509
3	1.2	0.5	0.5	0.44878701865673065	0.4833977594971657	0.707791268825531
4	1.2	0.5	0.7	0.4474082514643669	0.490720272064209	0.7144243977963924
5	1.5	0.5	0.0	0.4421475902199745	0.5145430639386177	0.735616859048605
6	1.5	0.5	0.3	0.44108564406633377	0.5212566703557968	0.7417994923889637
7	1.5	0.5	0.5	0.4404839873313904	0.5260328724980354	0.7462748661637306
8	1.5	0.5	0.7	0.43996746838092804	0.5310494303703308	0.7510331645607948
9	1.8	0.5	0.0	0.4370262399315834	0.5519224405288696	0.7704355604946613
10	1.8	0.5	0.3	0.43660011887550354	0.5566543787717819	0.7749544382095337
11	1.8	0.5	0.5	0.4363829493522644	0.5600437372922897	0.7782352119684219
12	1.8	0.5	0.7	0.43621905893087387	0.5636209398508072	0.7817304693162441
13	2.0	0.5	0.0	0.4352439343929291	0.5721399486064911	0.7897619158029556
14	2.0	0.5	0.3	0.43501969426870346	0.5759682655334473	0.793478112667799
15	2.0	0.5	0.5	0.43492379784584045	0.5787286460399628	0.796190544962883
16	2.0	0.5	0.7	0.4348709285259247	0.5816553980112076	0.7990908622741699
