config_id	p_bio_temp	p_bio_bias	proxy_drop_weight	avg_mse	avg_bz_mse	score
1	1.2	-1.0	0.5	0.4394870176911354	0.6976905465126038	0.9174340553581715
2	1.2	-0.5	0.5	0.4392733573913574	0.6334420591592789	0.8530787378549576
3	1.2	0.0	0.5	0.4417710602283478	0.5606479793787003	0.7815335094928741
4	1.2	0.5	0.5	0.44878701865673065	0.4833977594971657	0.707791268825531
5	1.5	-1.0	0.5	0.43803878128528595	0.7116497457027435	0.9306691363453865
6	1.5	-0.5	0.5	0.43678925186395645	0.6565722227096558	0.874966848641634
7	1.5	0.0	0.5	0.43719009310007095	0.5938129872083664	0.8124080337584019
8	1.5	0.5	0.5	0.4404839873313904	0.5260328724980354	0.7462748661637306
9	1.8	-1.0	0.5	0.4374762997031212	0.72189961373806	0.9406377635896206
10	1.8	-0.5	0.5	0.43578770011663437	0.6740504056215286	0.8919442556798458
11	1.8	0.0	0.5	0.4351341798901558	0.619488999247551	0.8370560891926289
12	1.8	0.5	0.5	0.4363829493522644	0.5600437372922897	0.7782352119684219
13	2.0	-1.0	0.5	0.4373505935072899	0.7272292971611023	0.9459045939147472
14	2.0	-0.5	0.5	0.435541994869709	0.683353066444397	0.9011240638792515
15	2.0	0.0	0.5	0.434502013027668	0.6333600431680679	0.8506110496819019
16	2.0	0.5	0.5	0.43492379784584045	0.5787286460399628	0.796190544962883
