dataset	method	display_method	status	n_cells	n_genes	n_labels	n_seeds_requested	n_method_runs	impute_runtime_sec_mean	error	ari_grid_mean	ari_grid_sd	ari_oracle_best	nmi_grid_mean	nmi_grid_sd	nmi_oracle_best	batch_ari_grid_mean	batch_ari_grid_sd	batch_ari_oracle_best	batch_nmi_grid_mean	batch_nmi_grid_sd	batch_nmi_oracle_best	batch_silhouette_grid_mean	batch_silhouette_grid_sd	batch_silhouette_oracle_best	n_clusters_grid_mean	n_grid_rows	ari_matched_mean	ari_matched_sd	nmi_matched_mean	nmi_matched_sd	batch_ari_matched_mean	batch_ari_matched_sd	batch_nmi_matched_mean	batch_nmi_matched_sd	batch_silhouette_matched_mean	batch_silhouette_matched_sd	n_clusters_matched_mean
Baron	baseline	Observed	ok	8569	1000	14	5	1	1.1211959645152092e-05		0.5081031361275975	0.1702356658383118	0.9338171074524098	0.7708748240029317	0.05903225532420356	0.9065435910954309	0.1474847128948902	0.04007679571296404	0.04060378464917357	0.27041443355672534	0.06388277828714849	0.05690759741840847	0.024526946432888507	0.007412579403680846	0.009766512550413609	24.16888888888889	225	0.6665461649382671	0.0982641916358386	0.8304312460731864	0.0290783518482259	0.1504517618265897	0.032266592545790736	0.22772592026796845	0.04447783722970642	0.02427097354084253	0.01082413228415419	14.2
Baron	dca	DCA	ok	8569	1000	14	5	1	106.91901528509334		0.44172072912920296	0.158424342591082	0.8125021263990936	0.746233692699392	0.0615859176143979	0.8758209465359866	0.16044096182314382	0.038030554965499765	0.08161459706978072	0.3165629445188189	0.06005958651638228	0.12220289539024484	0.038710825890302655	0.002903140611294776	0.033195506781339645	28.475555555555555	225	0.6065796362088525	0.03141569516500439	0.8184303179552865	0.0046922158552154015	0.17561833817993452	0.004539785817094736	0.26403562751621906	0.006751023031985375	0.04066434130072594	0.0026732308759795866	14.0
Baron	scvi	scVI	ok	8569	1000	14	5	5	84.89828491192311		0.4235417530444762	0.13925777143954607	0.6758419162604161	0.7390022176163376	0.05852076067478385	0.8506954188795769	0.16164975449879898	0.03674013781107989	0.07751730940733643	0.31830917655054514	0.045529706075552845	0.18924251070536735	0.044710879772901536	0.002214567909024503	0.040434472262859344	29.893333333333334	225	0.6074715944465477	0.030829129556656242	0.8159867296893235	0.009794549466003668	0.1644446425966907	0.008253116840349614	0.2385611335061663	0.010899291646808952	0.04650328978896141	0.001762559752347072	14.4
Baron	alra	ALRA	ok	8569	1000	14	5	5	0.48756951121613384		0.3895065607536093	0.15488036242355172	0.6684500757615662	0.7211605759344333	0.060597144919457335	0.8166712305700982	0.11587725341130989	0.03313485150370098	0.06165911573450769	0.2553314044749522	0.024822675039513624	0.18821906296875301	0.04053735186656316	0.003052337897157507	0.035542260855436325	28.817777777777778	225	0.6185131582918005	0.0314099078571824	0.8110897844192051	0.004626502611216265	0.14898502007773703	0.013570032096730569	0.22274332487438947	0.019050690476639594	0.04147987887263298	0.0034269279987258973	14.0
Baron	magic	MAGIC	ok	8569	1000	14	5	1	1.5790053829550743		0.31490755336718934	0.115918593315369	0.5231776622338428	0.6881845018469609	0.05307908056250123	0.7793148928359778	0.15636144411361386	0.050619321881449006	0.06669929113229076	0.3818457475170881	0.011445171809975221	0.35700888423063204	0.0614192970097065	0.004338924018072028	0.05401855334639549	44.83555555555556	225	0.5225357087717297	0.00040798943036277394	0.7790225664760115	0.00017431460724585244	0.2237825859869611	0.0005118069741065906	0.3608239448331497	0.0013090539594159325	0.06197721436619759	0.003769113376293673	17.0
Baron	maskimpute	MaskImpute	ok	8569	1000	14	5	5	243.22162970779465		0.45600534332056314	0.14601493973436339	0.8312187042147656	0.753737972088199	0.05870010579569167	0.8810871233555196	0.16251130814181788	0.029563172224717812	0.08384522584722831	0.3078066450570155	0.04989901752209808	0.12692492525371615	0.03025730960071087	0.004815882850657338	0.022577587515115738	25.275555555555556	225	0.6843600942101706	0.025618333489466474	0.8446954810178491	0.0067322227963311975	0.1551713734999231	0.009348130687689037	0.22844971254778756	0.010072120832841749	0.030376612022519112	0.005206360529589794	14.0
Zeisel	baseline	Observed	ok	3005	1000	9	5	1	8.500181138515472e-06		0.4094788252839046	0.1740296488400878	0.7601831906902513	0.6293567502856333	0.045265509472620966	0.740202444263557	0.03801502339012573	0.005400260263130485	0.029740251658736148	0.26072093198451884	0.024661953597602957	0.21423784938286106	-0.24719875852266948	0.024028705800938993	-0.27984732389450073	25.16888888888889	225	0.7573885579394021	0.002270051507213186	0.7380492433316864	0.0018512388720447839	0.03078517491402935	5.343891444748339e-05	0.21469108122577762	0.00027110936930461375	-0.2229108363389969	0.0003614468459219007	9.0
Zeisel	dca	DCA	ok	3005	1000	9	5	1	37.822109050815925		0.38098684816509243	0.15586285095605099	0.6834351739538553	0.6110543995992131	0.03519665371617159	0.6816162464014626	0.041541296540683295	0.007918043116494697	0.026791908142933765	0.26768297709629973	0.03723177998791644	0.19267431736469906	-0.21231233576933542	0.012288423544480046	-0.22932502627372742	26.586666666666666	225	0.6546675603157397	0.02253147676521244	0.6700107644019465	0.011555312430887574	0.028877358096253823	0.00032029114935282216	0.20255942529858798	0.0018990347902703459	-0.21911940574645997	0.014124062860010052	8.8
Zeisel	scvi	scVI	ok	3005	1000	9	5	5	38.39246613518335		0.37378979379163063	0.1522717696471813	0.661574615429883	0.6040116819906078	0.03584079374009245	0.6817939378463665	0.04161679141798348	0.007168028445309327	0.027024477703793716	0.2746550710928329	0.033673804770252794	0.20477965824826594	-0.21867992281913756	0.018797873564848428	-0.2503640055656433	27.795555555555556	225	0.6495360766451804	0.01385822497056395	0.6751829373148801	0.004667958594175665	0.030056666679252015	0.0007941255647699363	0.21163101860188588	0.0020931356154879587	-0.22045478820800782	0.02165386819920682	10.0
Zeisel	alra	ALRA	ok	3005	1000	9	5	5	0.23351113675162197		0.32678372405872974	0.1259540431522124	0.6256952605427178	0.6095200756054753	0.03191332217011447	0.6838033862839236	0.04033898105923737	0.005411499736292714	0.02935010365866906	0.26922150570108705	0.027399204991422794	0.2130702808017722	-0.27264161705970763	0.006213437155425035	-0.28109440207481384	29.413333333333334	225	0.6011196012556848	0.015329413826797644	0.6764841560275243	0.004120068225179803	0.030259954142952534	0.0005093221763803194	0.21426862099398186	0.0012062439416189801	-0.2717556536197662	0.005506449209412295	10.6
