seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	7	0.5075280126064086	0.6673545750663333				0.18598417402245104	batch_effects_moderate_drop	raw	42
42	20	10	0.5	12	0.4178328595301375	0.5939815557762879				0.1747468519024551	batch_effects_moderate_drop	raw	42
42	20	10	1.0	16	0.3156610918051	0.5496632853224513				0.20032816496677697	batch_effects_moderate_drop	raw	42
42	20	15	0.2	7	0.5245294804748473	0.684313604571141				0.24308520299382508	batch_effects_moderate_drop	raw	42
42	20	15	0.5	9	0.4420055066615682	0.6295188715056298				0.24162561702542007	batch_effects_moderate_drop	raw	42
42	20	15	1.0	14	0.30671565125149947	0.5657066784360378				0.22855948493815958	batch_effects_moderate_drop	raw	42
42	20	30	0.2	7	0.5281291302090743	0.6891075402817963				0.32235118886455894	batch_effects_moderate_drop	raw	42
42	20	30	0.5	8	0.4827701903541644	0.6542054545529403				0.3412259370088577	batch_effects_moderate_drop	raw	42
42	20	30	1.0	13	0.30669699676362544	0.5643612764356454				0.3310507710557431	batch_effects_moderate_drop	raw	42
42	50	10	0.2	7	0.5226566072181879	0.6811041539376378				0.18337806104682386	batch_effects_moderate_drop	raw	42
42	50	10	0.5	12	0.4157264656816524	0.5950346551013536				0.1909382250159979	batch_effects_moderate_drop	raw	42
42	50	10	1.0	18	0.26137440672870316	0.5339790706133939				0.19339743396267295	batch_effects_moderate_drop	raw	42
42	50	15	0.2	7	0.5210467420878165	0.6815061616247662				0.2385684389155358	batch_effects_moderate_drop	raw	42
42	50	15	0.5	10	0.4578495374369549	0.6385708552751074				0.23644142295233905	batch_effects_moderate_drop	raw	42
42	50	15	1.0	15	0.29019118801361393	0.553304097883815				0.2349758679047227	batch_effects_moderate_drop	raw	42
42	50	30	0.2	6	0.5122122164155549	0.6650902861896066				0.32853853492997587	batch_effects_moderate_drop	raw	42
42	50	30	0.5	8	0.4632384123380715	0.6410756192044108				0.3346579070203006	batch_effects_moderate_drop	raw	42
42	50	30	1.0	15	0.3006794410677675	0.552938333767607				0.3337990550789982	batch_effects_moderate_drop	raw	42
