dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
batch_effects_moderate_drop	raw	42	148.15522854286246	0.2356212965930853	0.316039375200682	0.021623942991348313	0.35660955085586443	1.1505016069720966	0.4209357742580415	0.6189342264192201	0.5281291302090743	0.6891075402817963	0.5122122164155549	0.6650902861896066	6.0
batch_effects_moderate_drop_group	raw	42	144.8458905830048	0.21887948289103829	0.3009840327609857	0.02052373037117917	0.341489966091812	1.1369934826333088	0.44686418203840034	0.6387342300361669	0.5397303126579137	0.6965009077760126	0.5347049736326294	0.6882795072285767	6.0
groups_balanced_moderate_drop	raw	42	144.619960910175	0.22080730018838457	0.2916895794574376	0.017231091523136864	0.3486188070781399	1.1682658592761295	0.7288785302893581	0.8336381681006508	0.9964009354222355	0.9918129253342166	0.9964009354222355	0.9918129253342166	3.0
groups_balanced_moderate_drop_group	raw	42	145.29824118409306	0.214100121357083	0.28696956825685593	0.015998001493532636	0.3415259095721741	1.1717584387316158	0.7736972958987797	0.8477899537274011	0.9887496199315049	0.9778357806419133	0.9875662091148512	0.9752512950323814	3.0
groups_balanced_nodrop	raw	42	145.4352470790036	0.14910188504117974	nan	0.037916415677756735	0.28858627416103316	0.9921769747932085	0.8586363761193901	0.9197878140657871	1.0	1.0	1.0	1.0	3.0
groups_imbalanced_moderate_drop	raw	42	146.33447157405317	0.2230608455257763	0.3009238300696103	0.014102964318321991	0.35071804584424593	1.188646926102795	0.5979810788974073	0.7457359801227075	0.9909399415830297	0.9731814818343358	0.9867403981629242	0.9640442278821638	3.0
groups_imbalanced_moderate_drop_group	raw	42	146.32661508396268	0.211325016205834	0.29023205579890965	0.01569577409216359	0.34078679657730193	1.1648004626283326	0.6166077657292386	0.7552741452442902	0.9804880558949397	0.9547898332048438	0.9790398009407703	0.9520518363648417	3.0
groups_rare_high_drop	raw	42	146.13330935291015	0.32695850673613075	0.40464642553739555	0.008192580137220061	0.4371615718072297	1.3993005657513797	0.3941699294765581	0.4044308785833854	0.54295557335638	0.46252801780454855	0.4684888205648552	0.44933133036981077	5.0
groups_rare_high_drop_group	raw	42	145.82020846311934	0.2958504645147765	0.38504710083774857	0.007784259808822191	0.40736741625486	1.3389815013159496	0.6528881369591211	0.7588237498280193	0.9506999815580104	0.9119421952080531	0.6407861121467445	0.756604090993219	5.0
paths_branching_moderate_drop	raw	42	146.85377322603017	0.22121376535424825	0.29357721664297465	0.020006593125547638	0.34941668911796403	1.1552373413072423	0.38367787854347546	0.528654441958415	0.47496019924113425	0.5909366320848308	0.42412266755429745	0.5305774070977627	5.0
paths_branching_moderate_drop_group	raw	42	145.45397334708832	0.22486754875036088	0.3053717498032519	0.013994951173224272	0.35183117066688685	1.1743388474619059	0.4621752665225178	0.5682220282036217	0.6678293859581678	0.6828713787276977	0.6678293859581678	0.6828713787276977	4.0
paths_linear_moderate_drop	raw	42	146.960317827994	0.216209646133179	0.290755405181101	0.017500450695329284	0.3428366640902519	1.1368633968182187	0.45927492311482637	0.5653684769892312	0.6080759186515684	0.6514620450703917	0.5918425897939175	0.6357746911674205	4.0
paths_linear_moderate_drop_group	raw	42	147.0806990498677	0.20935833531835765	0.27984453123623615	0.018376508476407594	0.33636834564617196	1.1261698078441005	0.5006650519480935	0.5977575667239708	0.5773870183343682	0.6475572219244466	0.5229090768891633	0.6139698806001808	5.0
