seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	15	0.27632997474985266	0.49220603189389317				0.14151007495820522	batch_effects_moderate_drop	raw	42
42	20	10	0.5	22	0.18497282282043873	0.4598028228692065				0.12927279598079622	batch_effects_moderate_drop	raw	42
42	20	10	1.0	29	0.14635340495620774	0.4318599788530805				0.12959388084709644	batch_effects_moderate_drop	raw	42
42	20	15	0.2	9	0.3534298205604997	0.519562063007407				0.16379937599413097	batch_effects_moderate_drop	raw	42
42	20	15	0.5	18	0.23078748591082027	0.47624983523601855				0.16358544514514506	batch_effects_moderate_drop	raw	42
42	20	15	1.0	27	0.15174448390931447	0.43456226455434155				0.1614640241023153	batch_effects_moderate_drop	raw	42
42	20	30	0.2	8	0.427256716083556	0.5784669251393032				0.2750328970141709	batch_effects_moderate_drop	raw	42
42	20	30	0.5	13	0.27102473080759887	0.5131222891864065				0.26999163697473705	batch_effects_moderate_drop	raw	42
42	20	30	1.0	20	0.19156444526651875	0.4638308396399246				0.2659603690262884	batch_effects_moderate_drop	raw	42
42	50	10	0.2	14	0.2888165675226654	0.5059069989910036				0.13043818389996886	batch_effects_moderate_drop	raw	42
42	50	10	0.5	21	0.19199640641570723	0.4637916915959404				0.12942606979049742	batch_effects_moderate_drop	raw	42
42	50	10	1.0	29	0.13742753003276956	0.42427787488232876				0.1307878540828824	batch_effects_moderate_drop	raw	42
42	50	15	0.2	12	0.3489665933165795	0.5433180442453066				0.1638610118534416	batch_effects_moderate_drop	raw	42
42	50	15	0.5	20	0.2024541468047994	0.4690797634090725				0.1626884969882667	batch_effects_moderate_drop	raw	42
42	50	15	1.0	25	0.1662211760786766	0.44579866163420834				0.16399533092044294	batch_effects_moderate_drop	raw	42
42	50	30	0.2	8	0.4281589797235622	0.5800980790372627				0.2687897919677198	batch_effects_moderate_drop	raw	42
42	50	30	0.5	13	0.2720018084478684	0.5136013051457341				0.26816029218025506	batch_effects_moderate_drop	raw	42
42	50	30	1.0	21	0.18836470982633172	0.46169260001928636				0.267053882824257	batch_effects_moderate_drop	raw	42
42	20	10	0.2	8	0.4344296813951453	0.5978327075557288				0.1479964868631214	batch_effects_moderate_drop_group	raw	42
42	20	10	0.5	14	0.2541372081256734	0.5072722571495478				0.14571075001731515	batch_effects_moderate_drop_group	raw	42
42	20	10	1.0	24	0.1752505731016129	0.4564758666328563				0.14602454588748515	batch_effects_moderate_drop_group	raw	42
42	20	15	0.2	8	0.44845240626491883	0.6089492032813683				0.1894039718899876	batch_effects_moderate_drop_group	raw	42
42	20	15	0.5	12	0.31463998431436463	0.5283446877292606				0.18761640088632703	batch_effects_moderate_drop_group	raw	42
42	20	15	1.0	20	0.20733261105650097	0.47864138860648364				0.1916042899247259	batch_effects_moderate_drop_group	raw	42
42	20	30	0.2	6	0.5117748880992599	0.6438530027308602				0.2994383748155087	batch_effects_moderate_drop_group	raw	42
42	20	30	0.5	10	0.36779724295133953	0.5665553106072035				0.3016200950369239	batch_effects_moderate_drop_group	raw	42
42	20	30	1.0	15	0.24616091786364894	0.504522593513331				0.30320224701426923	batch_effects_moderate_drop_group	raw	42
42	50	10	0.2	9	0.40595099655124056	0.5801846071035865				0.150463871890679	batch_effects_moderate_drop_group	raw	42
42	50	10	0.5	15	0.25318276477234786	0.5043880954874393				0.14874037797562778	batch_effects_moderate_drop_group	raw	42
42	50	10	1.0	25	0.15873827208311672	0.44663352127989103				0.15014850907027721	batch_effects_moderate_drop_group	raw	42
42	50	15	0.2	8	0.44781689195828517	0.6092903723130206				0.18311596987769008	batch_effects_moderate_drop_group	raw	42
42	50	15	0.5	13	0.303317183119107	0.5351844008460839				0.18223088304512203	batch_effects_moderate_drop_group	raw	42
