seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	3	0.9951972782940744	0.9887463991956964				0.21839560102671385	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	5	0.7690692178238064	0.834528369024919				0.20881385006941855	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	10	0.4394547140701726	0.6686794938125387				0.21286432701162994	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9957968078573659	0.9897747079029818				0.34689172194339335	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	3	0.9957968078573659	0.9897747079029818				0.29829571302980185	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	9	0.4543695725194332	0.680688010196417				0.33422755100764334	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9957964775307062	0.9898696983400094				0.4734101619105786	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	3	0.9957964775307062	0.9898696983400094				0.5300546761136502	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	7	0.5551949039757121	0.7324316377384278				0.4985966261010617	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9957968078573659	0.9897747079029818				0.22500599920749664	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	6	0.6653204608510068	0.7822076699075529				0.22092253318987787	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	9	0.44529464791106965	0.6739498012233411				0.21738373092375696	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9957921501898149	0.9897732309088431				0.3302323140669614	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	5	0.8454113110538924	0.8677531840118589				0.3280327748507261	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	8	0.4767591942165261	0.695005245415864				0.30607292987406254	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9969959707973052	0.9923352719662588				0.41703055100515485	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	3	0.9969959707973052	0.9923352719662588				0.4765732849482447	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	8	0.5091038171020935	0.7064257122583394				0.4663109518587589	groups_balanced_moderate_drop	raw	42
